98,9,493.21,212.90,100.23,58.35,0.3432,-1,-1,-1
98,13,595.89,248.51,235.42,125.52,0.9030,-1,-1,-1
98,30,555.81,269.31,83.11,33.62,0.7361,-1,-1,-1
99,3,208.82,255.64,97.08,40.16,0.7995,-1,-1,-1
99,9,491.06,213.10,102.38,57.49,0.3139,-1,-1,-1
99,13,585.16,248.60,237.96,130.35,0.9150,-1,-1,-1
99,30,544.09,269.01,83.84,34.67,0.6957,-1,-1,-1
100,3,208.29,255.07,97.49,40.44,0.8122,-1,-1,-1
100,13,571.58,249.45,242.53,132.25,0.9039,-1,-1,-1
100,30,529.17,269.39,86.38,34.88,0.4885,-1,-1,-1
101,3,207.35,254.66,96.99,40.31,0.7934,-1,-1,-1
101,13,557.00,249.81,247.81,134.73,0.8931,-1,-1,-1
101,30,514.09,269.50,91.10,36.31,0.6820,-1,-1,-1
102,3,208.15,255.00,94.98,40.29,0.8238,-1,-1,-1
102,13,544.27,253.01,252.08,135.31,0.8978,-1,-1,-1
102,30,499.96,270.19,95.85,35.74,0.7436,-1,-1,-1
103,3,208.98,255.26,92.67,39.92,0.8180,-1,-1,-1
103,13,527.57,258.05,259.27,133.65,0.9026,-1,-1,-1
103,30,487.11,270.20,96.58,36.51,0.6854,-1,-1,-1
104,3,209.20,255.10,91.98,40.44,0.7781,-1,-1,-1
104,9,492.68,212.93,102.49,59.37,0.2625,-1,-1,-1
104,13,517.24,259.61,261.23,136.44,0.8949,-1,-1,-1
104,30,472.75,271.39,96.63,36.69,0.6692,-1,-1,-1
105,3,208.89,255.05,91.35,40.50,0.8261,-1,-1,-1
105,9,491.89,213.59,103.44,59.01,0.4285,-1,-1,-1
105,13,504.01,262.22,265.44,135.80,0.9125,-1,-1,-1
105,30,458.76,272.78,85.53,36.57,0.7056,-1,-1,-1
106,3,208.10,254.66,92.09,40.58,0.8194,-1,-1,-1
106,9,490.34,213.78,105.53,59.49,0.3646,-1,-1,-1
106,13,489.21,259.56,270.52,141.67,0.9036,-1,-1,-1
106,30,443.46,273.38,90.18,36.81,0.7799,-1,-1,-1
106,39,0.02,280.39,21.04,20.36,0.3821,-1,-1,-1
107,3,208.04,254.81,93.52,40.66,0.7704,-1,-1,-1
107,9,490.46,213.34,105.51,59.08,0.3116,-1,-1,-1
107,13,475.18,259.05,276.85,145.97,0.8845,-1,-1,-1
107,30,430.62,273.86,98.30,37.02,0.8038,-1,-1,-1
107,39,0.10,280.45,21.38,20.11,0.3221,-1,-1,-1
108,3,208.22,254.91,93.65,40.54,0.7721,-1,-1,-1
108,9,490.71,213.62,105.27,59.02,0.4478,-1,-1,-1
108,13,459.29,257.99,282.84,153.16,0.9044,-1,-1,-1
108,30,416.43,273.89,100.34,38.35,0.8186,-1,-1,-1
108,39,0.10,280.38,21.34,20.51,0.3287,-1,-1,-1
109,3,208.89,255.03,93.80,40.30,0.8085,-1,-1,-1
109,9,491.55,213.66,104.10,58.66,0.4946,-1,-1,-1
109,13,443.82,258.94,289.21,155.30,0.9043,-1,-1,-1
109,30,401.25,274.75,106.23,38.12,0.7934,-1,-1,-1
109,39,0.11,280.18,21.20,20.55,0.3431,-1,-1,-1
110,3,208.23,254.52,94.25,40.31,0.8014,-1,-1,-1
110,13,424.14,259.95,297.77,158.67,0.9066,-1,-1,-1
110,30,386.72,275.80,108.44,38.05,0.7885,-1,-1,-1
110,39,0.02,279.67,20.39,20.33,0.3834,-1,-1,-1
110,45,636.54,256.78,74.70,18.65,0.4752,-1,-1,-1
111,3,207.78,254.84,95.08,40.19,0.8147,-1,-1,-1
111,9,493.85,212.85,100.42,58.30,0.2742,-1,-1,-1
111,13,402.23,268.62,310.21,155.57,0.8929,-1,-1,-1
111,30,376.23,277.91,105.48,37.30,0.7856,-1,-1,-1
111,39,0.28,280.79,20.75,19.84,0.3875,-1,-1,-1
111,45,624.54,257.28,75.81,19.13,0.4290,-1,-1,-1
112,3,208.46,255.17,94.77,39.89,0.8230,-1,-1,-1
112,13,381.93,272.77,320.75,155.97,0.9063,-1,-1,-1
112,30,359.96,278.65,108.28,37.50,0.8053,-1,-1,-1
112,39,0.26,281.10,21.00,19.69,0.3492,-1,-1,-1
112,45,610.78,257.43,78.05,20.95,0.4476,-1,-1,-1
112,50,917.56,214.91,42.15,55.33,0.4824,-1,-1,-1
113,3,208.40,254.66,95.03,40.35,0.8315,-1,-1,-1
113,9,497.77,211.94,95.87,59.41,0.3233,-1,-1,-1
113,13,360.79,274.77,330.72,157.37,0.9140,-1,-1,-1
113,30,344.19,279.10,109.44,37.28,0.7509,-1,-1,-1
113,39,0.15,280.30,21.19,20.17,0.3190,-1,-1,-1
113,45,587.42,257.82,92.52,23.33,0.4451,-1,-1,-1
